epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1030.83,1.74755,2.13047,1.43306,0.29155,0.46598,0.29004,0.13944,1.82683,2.79727,1.7566,0.000551781,0.000551781,0.000551781
2,2066.08,1.61531,1.3289,1.38257,0.75993,0.60116,0.72935,0.37817,1.59103,1.39341,1.51696,0.000559261,0.000559261,0.000559261
